[14/10/2025 16:35:42,83] === Module Nettoyage démarré === 
[14/11/2025 17:01:17,32] === Module Nettoyage démarré === 
[14/11/2025 17:01:45,17] Calcul de l'espace disque - AVANT 
[14/11/2025 17:01:45,20] Nettoyage du dossier temporaire: C:\Users\visch\AppData\Local\Temp 
[14/11/2025 17:01:45,26] Supprimé: .ses 
[14/11/2025 17:01:45,28] Supprimé: 083db89a702c7f953a7e50907718fbd1-{87A94AB0-E370-4cde-98D3-ACC110C5967D} 
[14/11/2025 17:01:45,28] Supprimé: 0bd65d48-e0d3-4357-b704-146f7838b4d5.tmp 
[14/11/2025 17:01:45,28] Supprimé: 0j1bgirh.ked 
[14/11/2025 17:01:45,28] Supprimé: 1322e8f1-4c45-4625-af4b-84fa50300557.tmp 
[14/11/2025 17:01:45,28] Supprimé: 15aa29aa-b03e-4492-825a-2d04bba7ae16.tmp 
[14/11/2025 17:01:45,29] Supprimé: 1c48f925-97a6-4983-a197-2659f593ba7a.tmp 
[14/11/2025 17:01:45,29] Supprimé: 1e334acd-d06b-4a73-9261-3756f05741c5.tmp 
[14/11/2025 17:01:45,29] Supprimé: 2025_11_10_EmploiDuTemps_Licence2-3_maj.pdf 
[14/11/2025 17:01:45,29] Supprimé: 213fcc85-23f4-48fb-a794-d8e87472252a.tmp 
[14/11/2025 17:01:45,29] Supprimé: 222bcc98-fcb7-4949-a26b-f6050e8df4f2.tmp 
[14/11/2025 17:01:45,31] Supprimé: 2780.tmp 
[14/11/2025 17:01:45,31] Supprimé: 27F.tmp 
[14/11/2025 17:01:45,31] Supprimé: 282b572a-2736-4b8c-8b99-6b7531bae89f.tmp 
[14/11/2025 17:01:45,31] Supprimé: 294f5082-1af3-49c8-8d3f-9d3f9466e612.tmp 
[14/11/2025 17:01:45,31] Supprimé: 2975.tmp 
[14/11/2025 17:01:45,31] Supprimé: 29C4.tmp 
[14/11/2025 17:01:45,32] Supprimé: 2A23.tmp 
[14/11/2025 17:01:45,32] Supprimé: 2A72.tmp 
[14/11/2025 17:01:45,32] Supprimé: 2AD1.tmp 
[14/11/2025 17:01:45,32] Supprimé: 2B20.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2B8E.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2BED.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2C8A.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2D76.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2e265d93-17e6-4211-b7e2-a00e494f638c.tmp 
[14/11/2025 17:01:45,34] Supprimé: 2E32.tmp 
[14/11/2025 17:01:45,35] Supprimé: 2E72.tmp 
[14/11/2025 17:01:45,35] Supprimé: 2EB1.tmp 
[14/11/2025 17:01:45,35] Supprimé: 3gggolo1.edk 
[14/11/2025 17:01:45,35] Supprimé: 43f90950-b928-4044-a0b5-ab1322ad28bf.tmp 
[14/11/2025 17:01:45,35] Supprimé: 49fb5beb-aaea-47c6-ba87-38749016537b.tmp 
[14/11/2025 17:01:45,37] Supprimé: 5445.tmp 
[14/11/2025 17:01:45,37] Supprimé: 67ed9486-1974-4ea6-aae8-c67476d053ed.tmp 
[14/11/2025 17:01:45,37] Supprimé: 6f2faa72-b7c6-427a-b9d4-e8715e726031.tmp 
[14/11/2025 17:01:45,37] Supprimé: 7b2b2b5e-1f31-4ba1-ba31-b71c38a33e4e.tmp 
[14/11/2025 17:01:45,39] Supprimé: 7d200b49-f687-42dd-955c-54949cf4dce7.tmp 
[14/11/2025 17:01:45,39] Supprimé: 7f6b5d01-d86a-44be-aaa7-a357d2b15d3e.tmp 
[14/11/2025 17:01:45,39] Supprimé: 8db5c040-c133-49ba-9cdf-b33b9211f733.tmp 
[14/11/2025 17:01:45,39] Supprimé: 900cf318-45cc-4c55-bc71-7b83b643e845.tmp 
[14/11/2025 17:01:45,39] Supprimé: 976cd8b2-7375-4002-988e-9f6f4eb9fbe0.tmp 
[14/11/2025 17:01:45,40] Supprimé: 984ee8e3-8ff3-4b27-bc12-4e14ab818480.tmp 
[14/11/2025 17:01:45,40] Supprimé: 9bb25758-a25e-4b18-a2e5-a8c77083d32a.tmp 
[14/11/2025 17:01:45,40] Supprimé: 9bba4c64-e491-4b8e-beeb-012259911762.tmp 
[14/11/2025 17:01:45,40] Supprimé: 9f128862-6166-4fe8-ac0d-3c66e7407b7d.tmp 
[14/11/2025 17:01:45,42] Supprimé: a5e16d58-0e0e-4160-9044-65fe7d4d6e29.tmp 
[14/11/2025 17:01:45,42] Supprimé: AdobeVulcan 
[14/11/2025 17:01:45,42] Supprimé: af4ac31b-8226-4106-a65c-3120063f9d4e.tmp 
[14/11/2025 17:01:45,42] Supprimé: b5ef83e5-64a7-4019-9c97-16523440003e.tmp 
[14/11/2025 17:01:45,43] Supprimé: b6d5a017-7585-49ef-8978-ed1180bccecc.tmp 
[14/11/2025 17:01:45,43] Supprimé: b6fe2a5a-78da-4553-b0c4-b46dc227286a.tmp 
[14/11/2025 17:01:45,43] Supprimé: B8D1.tmp 
[14/11/2025 17:01:45,43] Supprimé: B8D2.tmp 
[14/11/2025 17:01:45,43] Supprimé: B902.tmp 
[14/11/2025 17:01:45,45] Supprimé: B903.tmp 
[14/11/2025 17:01:45,45] Supprimé: B904.tmp 
[14/11/2025 17:01:45,45] Supprimé: B905.tmp 
[14/11/2025 17:01:45,45] Supprimé: B906.tmp 
[14/11/2025 17:01:45,45] Supprimé: B907.tmp 
[14/11/2025 17:01:45,47] Supprimé: B908.tmp 
[14/11/2025 17:01:45,47] Supprimé: B919.tmp 
[14/11/2025 17:01:45,47] Supprimé: B91A.tmp 
[14/11/2025 17:01:45,47] Supprimé: B91B.tmp 
[14/11/2025 17:01:45,47] Supprimé: B91C.tmp 
[14/11/2025 17:01:45,48] Supprimé: B91D.tmp 
[14/11/2025 17:01:45,48] Supprimé: B91E.tmp 
[14/11/2025 17:01:45,48] Supprimé: B91F.tmp 
[14/11/2025 17:01:45,48] Supprimé: B920.tmp 
[14/11/2025 17:01:45,48] Supprimé: ba6bf7a2-889a-41ff-8deb-babde7f8e3ef.tmp 
[14/11/2025 17:01:45,48] Supprimé: c90a8bd8-ee5e-4014-a743-51790bd51f37.tmp 
[14/11/2025 17:01:45,50] Supprimé: cccc008e-8693-4b17-92e1-d7246a0767a2.tmp 
[14/11/2025 17:01:45,50] Supprimé: chrome_BITS_18708_173828959 
[14/11/2025 17:01:45,50] Supprimé: chrome_BITS_3044_1213034313 
[14/11/2025 17:01:45,50] Supprimé: cortex-debug-server-exiting.log 
[14/11/2025 17:01:45,50] Supprimé: CreativeCloud 
[14/11/2025 17:01:45,51] Supprimé: CR_EAFB0.tmp 
[14/11/2025 17:01:45,52] Supprimé: csdevkit 
[14/11/2025 17:01:45,52] Supprimé: cursor-inno-updater-1762825262.log 
[14/11/2025 17:01:45,52] Supprimé: CUsersvischAppDataLocalProgramsOperaautoupdateopera_autoupdate.download.lock 
[14/11/2025 17:01:45,53] Supprimé: cvgt05c5.ltf 
[14/11/2025 17:01:45,53] Supprimé: cv_debug.log 
[14/11/2025 17:01:45,53] Supprimé: d0a0252e-cca8-413c-ba9c-7763c4c3a918.tmp 
[14/11/2025 17:01:45,53] Supprimé: d961a3fb-acbc-452e-952c-c05f67dfd747.tmp 
[14/11/2025 17:01:45,53] Supprimé: dc6a79ac-8a72-458f-ae2a-0933ccfcbf8e.tmp 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_00_setup.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_00_setup_errors.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_01_setup.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_01_setup_errors.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_result_Success.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251111034615.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251111035140.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112112206.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112112206_result_Error.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112164419.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112164419_result_Error.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080250.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080250_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080529.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080529_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113110529.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113110529_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251113231106.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251113231106_result_Error.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251114072906.log 
